NO,output
0,0.04131377814501136
1,0.02065688907250568
2,0.02065688907250568
3,0.02065688907250568
4,0.02065688907250568
5,0.04131377814501136
6,0.06197066721751704
7,0.02065688907250568
8,0.02065688907250568
9,0.02065688907250568
10,0.04131377814501136
11,0.04131377814501136
12,0.02065688907250568
13,0.02065688907250568
14,0.02065688907250568
15,0.1032844453625284
16,0.08262755629002272
17,0.12394133443503408
18,0.02065688907250568
19,0.02065688907250568
20,0.02065688907250568
21,0.02065688907250568
22,0.1032844453625284
23,0.04131377814501136
24,0.02065688907250568
25,0.02065688907250568
26,0.02065688907250568
27,0.02065688907250568
28,0.02065688907250568
29,0.06197066721751704
30,0.02065688907250568
31,0.02065688907250568
32,0.02065688907250568
33,0.02065688907250568
34,0.04131377814501136
35,0.02065688907250568
36,0.02065688907250568
37,0.02065688907250568
38,0.02065688907250568
39,0.04131377814501136
40,0.02065688907250568
41,0.02065688907250568
42,0.04131377814501136
43,0.02065688907250568
44,0.02065688907250568
45,0.02065688907250568
46,0.02065688907250568
47,0.08262755629002272
48,0.04131377814501136
49,0.02065688907250568
50,0.02065688907250568
51,0.02065688907250568
52,0.02065688907250568
53,0.02065688907250568
54,0.02065688907250568
55,0.02065688907250568
56,0.04131377814501136
57,0.04131377814501136
58,0.06197066721751704
59,0.02065688907250568
60,0.04131377814501136
61,0.02065688907250568
62,0.02065688907250568
63,0.02065688907250568
64,0.06197066721751704
65,0.04131377814501136
66,0.02065688907250568
67,0.04131377814501136
68,0.02065688907250568
69,0.02065688907250568
70,0.02065688907250568
71,0.02065688907250568
72,0.04131377814501136
73,0.04131377814501136
74,0.02065688907250568
75,0.02065688907250568
76,0.04131377814501136
77,0.02065688907250568
78,0.04131377814501136
79,0.02065688907250568
80,0.02065688907250568
81,0.02065688907250568
82,0.02065688907250568
83,0.02065688907250568
84,0.04131377814501136
85,0.02065688907250568
86,0.02065688907250568
87,0.02065688907250568
88,0.02065688907250568
89,0.02065688907250568
90,0.04131377814501136
91,0.02065688907250568
92,0.02065688907250568
93,0.06197066721751704
94,0.02065688907250568
95,0.02065688907250568
96,0.02065688907250568
97,0.02065688907250568
98,0.04131377814501136
99,0.06197066721751704
100,0.02065688907250568
101,0.08262755629002272
102,0.06197066721751704
103,0.02065688907250568
104,0.02065688907250568
105,0.02065688907250568
106,0.02065688907250568
107,0.04131377814501136
108,0.04131377814501136
109,0.04131377814501136
110,0.02065688907250568
111,0.04131377814501136
112,0.02065688907250568
113,0.02065688907250568
114,0.02065688907250568
115,0.02065688907250568
116,0.02065688907250568
117,0.04131377814501136
118,0.04131377814501136
119,0.04131377814501136
120,0.02065688907250568
121,0.06197066721751704
122,0.04131377814501136
123,0.02065688907250568
124,0.04131377814501136
125,0.06197066721751704
126,0.04131377814501136
127,0.02065688907250568
128,0.02065688907250568
129,0.02065688907250568
130,0.04131377814501136
131,0.02065688907250568
132,0.04131377814501136
133,0.02065688907250568
134,0.02065688907250568
135,0.02065688907250568
136,0.02065688907250568
137,0.04131377814501136
138,0.02065688907250568
139,0.02065688907250568
140,0.02065688907250568
141,0.02065688907250568
142,0.02065688907250568
143,0.02065688907250568
144,0.02065688907250568
145,0.02065688907250568
146,0.02065688907250568
147,0.02065688907250568
148,0.02065688907250568
149,0.02065688907250568
150,0.02065688907250568
151,0.06197066721751704
152,0.02065688907250568
153,0.02065688907250568
154,0.02065688907250568
155,0.04131377814501136
156,0.02065688907250568
157,0.02065688907250568
158,0.02065688907250568
159,0.02065688907250568
160,0.02065688907250568
161,0.02065688907250568
162,0.02065688907250568
163,0.02065688907250568
164,0.02065688907250568
165,0.02065688907250568
166,0.02065688907250568
167,0.02065688907250568
168,0.02065688907250568
169,0.02065688907250568
170,0.04131377814501136
171,0.02065688907250568
172,0.02065688907250568
173,0.02065688907250568
174,0.02065688907250568
175,0.02065688907250568
176,0.04131377814501136
177,0.02065688907250568
178,0.02065688907250568
179,0.02065688907250568
180,0.02065688907250568
181,0.02065688907250568
182,0.02065688907250568
183,0.02065688907250568
184,0.02065688907250568
185,0.02065688907250568
186,0.02065688907250568
187,0.02065688907250568
188,0.02065688907250568
189,0.04131377814501136
190,0.02065688907250568
191,0.02065688907250568
192,0.02065688907250568
193,0.02065688907250568
194,0.02065688907250568
195,0.02065688907250568
196,0.02065688907250568
197,0.02065688907250568
198,0.02065688907250568
199,0.02065688907250568
200,0.02065688907250568
201,0.02065688907250568
202,0.02065688907250568
203,0.02065688907250568
204,0.04131377814501136
205,0.02065688907250568
206,0.02065688907250568
207,0.02065688907250568
208,0.02065688907250568
209,0.02065688907250568
210,0.04131377814501136
211,0.02065688907250568
212,0.02065688907250568
213,0.02065688907250568
214,0.02065688907250568
215,0.02065688907250568
216,0.02065688907250568
217,0.02065688907250568
218,0.02065688907250568
219,0.02065688907250568
220,0.02065688907250568
221,0.02065688907250568
222,0.02065688907250568
223,0.02065688907250568
224,0.04131377814501136
225,0.02065688907250568
226,0.02065688907250568
227,0.02065688907250568
228,0.02065688907250568
229,0.02065688907250568
230,0.02065688907250568
231,0.02065688907250568
232,0.02065688907250568
233,0.02065688907250568
234,0.02065688907250568
235,0.02065688907250568
236,0.02065688907250568
237,0.02065688907250568
238,0.02065688907250568
239,0.02065688907250568
240,0.04131377814501136
241,0.02065688907250568
242,0.02065688907250568
243,0.04131377814501136
244,0.02065688907250568
245,0.02065688907250568
246,0.02065688907250568
247,0.02065688907250568
248,0.02065688907250568
249,0.02065688907250568
250,0.02065688907250568
251,0.02065688907250568
252,0.02065688907250568
253,0.02065688907250568
254,0.02065688907250568
255,0.02065688907250568
256,0.04131377814501136
257,0.02065688907250568
258,0.02065688907250568
259,0.02065688907250568
260,0.02065688907250568
261,0.02065688907250568
262,0.02065688907250568
263,0.02065688907250568
264,0.02065688907250568
265,0.04131377814501136
266,0.02065688907250568
267,0.02065688907250568
268,0.04131377814501136
269,0.02065688907250568
270,0.02065688907250568
271,0.02065688907250568
272,0.02065688907250568
273,0.02065688907250568
274,0.02065688907250568
275,0.02065688907250568
276,0.02065688907250568
277,0.02065688907250568
278,0.02065688907250568
279,0.02065688907250568
280,0.02065688907250568
281,0.02065688907250568
282,0.02065688907250568
283,0.02065688907250568
284,0.02065688907250568
285,0.02065688907250568
286,0.02065688907250568
287,0.02065688907250568
288,0.02065688907250568
289,0.04131377814501136
290,0.02065688907250568
291,0.02065688907250568
292,0.02065688907250568
293,0.02065688907250568
294,0.02065688907250568
295,0.02065688907250568
296,0.02065688907250568
297,0.02065688907250568
298,0.02065688907250568
299,0.02065688907250568
300,0.02065688907250568
301,0.02065688907250568
302,0.02065688907250568
303,0.04131377814501136
304,0.06197066721751704
305,0.06197066721751704
306,0.06197066721751704
307,0.02065688907250568
308,0.02065688907250568
309,0.02065688907250568
310,0.02065688907250568
311,0.06197066721751704
312,0.02065688907250568
313,0.02065688907250568
314,0.02065688907250568
315,0.02065688907250568
316,0.02065688907250568
317,0.02065688907250568
318,0.02065688907250568
319,0.02065688907250568
320,0.02065688907250568
321,0.02065688907250568
322,0.02065688907250568
323,0.02065688907250568
324,0.02065688907250568
325,0.02065688907250568
326,0.02065688907250568
327,0.04131377814501136
328,0.02065688907250568
329,0.02065688907250568
330,0.04131377814501136
331,0.02065688907250568
332,0.02065688907250568
333,0.02065688907250568
334,0.02065688907250568
335,0.02065688907250568
336,0.02065688907250568
337,0.02065688907250568
338,0.04131377814501136
339,0.02065688907250568
340,0.02065688907250568
341,0.02065688907250568
342,0.02065688907250568
343,0.02065688907250568
344,0.02065688907250568
345,0.04131377814501136
346,0.02065688907250568
347,0.02065688907250568
348,0.02065688907250568
349,0.02065688907250568
350,0.02065688907250568
351,0.04131377814501136
352,0.02065688907250568
353,0.02065688907250568
354,0.02065688907250568
355,0.02065688907250568
356,0.04131377814501136
357,0.02065688907250568
358,0.02065688907250568
359,0.02065688907250568
360,0.02065688907250568
361,0.02065688907250568
362,0.02065688907250568
363,0.02065688907250568
364,0.02065688907250568
365,0.02065688907250568
366,0.02065688907250568
367,0.02065688907250568
368,0.02065688907250568
369,0.02065688907250568
370,0.02065688907250568
371,0.02065688907250568
372,0.02065688907250568
373,0.04131377814501136
374,0.02065688907250568
375,0.02065688907250568
376,0.02065688907250568
377,0.02065688907250568
378,0.02065688907250568
379,0.02065688907250568
380,0.04131377814501136
381,0.02065688907250568
382,0.02065688907250568
383,0.02065688907250568
384,0.02065688907250568
385,0.02065688907250568
386,0.02065688907250568
387,0.06197066721751704
388,0.02065688907250568
389,0.04131377814501136
390,0.02065688907250568
391,0.06197066721751704
392,0.02065688907250568
393,0.02065688907250568
394,0.02065688907250568
395,0.04131377814501136
396,0.02065688907250568
397,0.02065688907250568
398,0.02065688907250568
399,0.02065688907250568
400,0.02065688907250568
401,0.02065688907250568
402,0.02065688907250568
403,0.02065688907250568
404,0.02065688907250568
405,0.02065688907250568
406,0.02065688907250568
407,0.02065688907250568
408,0.02065688907250568
409,0.02065688907250568
410,0.02065688907250568
411,0.02065688907250568
412,0.02065688907250568
413,0.02065688907250568
414,0.02065688907250568
415,0.04131377814501136
416,0.02065688907250568
417,0.02065688907250568
418,0.02065688907250568
419,0.02065688907250568
420,0.04131377814501136
421,0.06197066721751704
422,0.04131377814501136
423,0.02065688907250568
424,0.02065688907250568
425,0.02065688907250568
426,0.02065688907250568
427,0.02065688907250568
428,0.02065688907250568
429,0.02065688907250568
430,0.02065688907250568
431,0.02065688907250568
432,0.02065688907250568
433,0.02065688907250568
434,0.02065688907250568
435,0.02065688907250568
436,0.02065688907250568
437,0.02065688907250568
438,0.02065688907250568
439,0.02065688907250568
